	craspi01	craspi02	craspi03	craspi04	craspi05	craspi06	craspi07	craspi08	craspi09	craspi10
2017-01-06 14:20:54	43.3125	42.1875	41.1875	42.8125	41.6875	42.1875	42.8125	41.6875	43.3125	41.6875
2017-01-06 14:21:57	43.3125	41.6875	40.59375	42.8125	41.1875	43.3125	42.1875	41.1875	43.3125	42.1875
2017-01-06 14:23:01	42.8125	41.1875	41.1875	42.1875	41.6875	42.8125	42.8125	42.1875	43.3125	41.6875
2017-01-06 14:24:04	43.3125	41.1875	40.59375	42.8125	41.1875	42.8125	42.1875	41.6875	43.3125	41.6875
2017-01-06 14:25:07	43.3125	41.1875	40.59375	42.8125	41.6875	42.8125	42.8125	42.1875	43.3125	41.1875
2017-01-06 14:26:11	42.8125	41.1875	41.1875	42.8125	41.6875	42.1875	42.1875	42.1875	43.3125	41.1875
2017-01-06 14:27:14	43.3125	41.6875	41.1875	42.1875	41.6875	42.1875	42.1875	42.1875	43.3125	42.1875
2017-01-06 14:28:18	42.1875	41.6875	41.1875	42.8125	42.1875	42.8125	43.3125	42.1875	43.3125	41.1875
2017-01-06 14:29:21	43.3125	41.1875	41.1875	42.8125	41.1875	42.1875	42.1875	42.1875	43.3125	41.6875
2017-01-06 14:30:25	42.8125	41.1875	41.1875	42.8125	41.1875	42.8125	42.1875	42.1875	43.3125	41.1875
2017-01-06 14:31:28	43.3125	41.6875	41.1875	42.1875	41.1875	42.1875	42.1875	42.1875	43.3125	41.1875
2017-01-06 14:32:31	42.8125	41.1875	41.1875	42.1875	42.1875	42.1875	42.1875	42.1875	42.8125	41.6875
2017-01-06 14:33:35	43.3125	41.1875	40.59375	42.8125	41.1875	42.8125	42.1875	42.1875	43.3125	41.1875
2017-01-06 14:34:38	42.8125	41.1875	40.59375	42.8125	41.1875	42.8125	42.1875	41.6875	43.3125	41.1875
2017-01-06 14:35:41	42.8125	41.1875	40.59375	42.8125	41.1875	42.1875	41.6875	42.1875	43.3125	41.6875
2017-01-06 14:36:45	43.3125	41.1875	40.59375	43.3125	41.1875	42.8125	42.1875	41.6875	42.1875	41.1875
2017-01-06 14:37:48	42.8125	41.1875	40.59375	42.8125	41.6875	42.1875	42.1875	42.1875	43.3125	41.1875
2017-01-06 14:38:52	42.8125	41.1875	41.1875	42.1875	41.1875	42.8125	42.1875	42.1875	43.3125	41.1875
2017-01-06 14:39:55	42.8125	41.1875	40.09375	42.1875	41.6875	42.1875	41.6875	42.1875	42.8125	41.1875
2017-01-06 14:40:58	43.3125	41.1875	41.1875	42.1875	41.1875	42.1875	41.1875	41.6875	42.8125	41.1875
2017-01-06 14:42:02	42.8125	41.6875	40.59375	42.8125	41.1875	42.1875	42.1875	41.1875	43.3125	42.1875
2017-01-06 14:43:05	42.8125	41.6875	40.59375	42.1875	41.1875	42.1875	42.1875	42.1875	42.8125	41.6875
2017-01-06 14:44:08	42.1875	41.1875	40.59375	42.8125	41.1875	42.1875	42.1875	41.6875	42.8125	41.1875
2017-01-06 14:45:12	43.3125	41.1875	40.59375	42.1875	41.1875	42.1875	41.1875	42.1875	43.3125	41.1875
2017-01-06 14:46:15	43.3125	41.6875	41.1875	42.1875	41.1875	42.1875	42.8125	41.6875	42.8125	41.6875
2017-01-06 14:47:18	42.8125	41.1875	40.59375	42.8125	41.6875	42.1875	42.1875	42.1875	43.3125	41.1875
2017-01-06 14:48:22	42.8125	41.1875	40.59375	42.8125	41.1875	42.1875	42.1875	42.1875	42.8125	41.6875
2017-01-06 14:49:25	42.8125	41.1875	40.59375	42.8125	41.6875	42.1875	41.6875	42.1875	43.3125	41.1875
2017-01-06 14:50:29	42.8125	41.1875	40.59375	42.1875	41.1875	42.1875	42.1875	41.6875	42.8125	41.1875
2017-01-06 14:51:32	42.8125	40.59375	40.59375	42.8125	41.1875	42.1875	42.1875	41.1875	43.3125	41.1875
2017-01-06 14:52:35	42.8125	41.1875	40.09375	42.8125	41.1875	42.1875	42.1875	42.1875	42.8125	41.1875
2017-01-06 14:53:39	43.3125	41.6875	41.1875	42.8125	41.1875	42.1875	42.1875	42.1875	42.8125	41.1875
2017-01-06 14:54:42	42.8125	41.1875	41.1875	42.1875	41.1875	42.1875	42.1875	42.1875	43.3125	41.1875
2017-01-06 14:55:46	42.8125	41.6875	40.09375	42.1875	41.6875	42.1875	42.1875	41.1875	42.8125	41.1875
2017-01-06 14:56:49	42.8125	41.1875	41.1875	42.1875	41.1875	42.1875	41.6875	42.1875	43.3125	41.1875
2017-01-06 14:57:52	42.8125	41.1875	40.09375	42.1875	41.1875	41.6875	42.1875	41.6875	42.8125	41.1875
2017-01-06 14:58:56	42.8125	41.1875	40.59375	42.8125	41.1875	42.1875	41.6875	41.6875	42.8125	41.1875
2017-01-06 14:59:59	42.8125	41.1875	40.59375	42.8125	41.1875	41.6875	42.1875	41.1875	42.8125	41.1875
2017-01-06 15:01:02	42.8125	41.1875	40.59375	42.1875	41.6875	42.1875	42.1875	41.6875	42.8125	41.1875
2017-01-06 15:02:06	43.3125	41.1875	40.59375	42.1875	41.1875	42.1875	42.1875	41.6875	43.3125	41.1875
2017-01-06 15:03:09	42.8125	41.1875	41.1875	42.1875	42.1875	42.8125	41.1875	42.1875	42.8125	41.1875
2017-01-06 15:04:13	43.3125	41.1875	40.59375	42.1875	41.1875	42.1875	42.1875	41.6875	42.8125	41.6875
2017-01-06 15:05:16	42.8125	41.1875	40.59375	42.1875	41.1875	42.8125	41.6875	42.1875	42.1875	41.1875
